Field,Semantic cluster,Mapping confidence,Prior disposition,Source,Note
NavigationMode.planner_recovery_wait_timeout_ns_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:151,Cluster is not a field disposition or D_f proof
NavigationMode.odometry_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:152,Cluster is not a field disposition or D_f proof
NavigationMode.px4_local_position_ned_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:153,Cluster is not a field disposition or D_f proof
NavigationMode.px4_local_velocity_ned_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:154,Cluster is not a field disposition or D_f proof
NavigationMode.lio_to_px4_local_translation_ned_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:155,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_local_position_receive_ns_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:163,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_position_receive_steady_ns_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:164,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_xy_valid_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:165,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_z_valid_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:166,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_vxy_valid_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:167,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_vz_valid_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:168,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_dead_reckoning_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:169,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_heading_good_for_control_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:170,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_heading_valid_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:171,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_heading_ned_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:172,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_heading_variance_rad2_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:173,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_delta_xy_north_m_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:174,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_delta_xy_east_m_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:175,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_delta_z_m_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:176,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_delta_heading_rad_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:177,Cluster is not a field disposition or D_f proof
NavigationMode.last_px4_local_position_receive_steady_ns_,PX4LocalStateFrame,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:178,Cluster is not a field disposition or D_f proof
NavigationMode.px4_local_frame_aligned_,PX4LocalStateFrame,LEXICAL_TENTATIVE,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:179,Cluster is not a field disposition or D_f proof
NavigationMode.navigation_command_,CommandLease,LEXICAL_TENTATIVE,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:180,Cluster is not a field disposition or D_f proof
NavigationMode.lio_health_valid_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:181,Cluster is not a field disposition or D_f proof
NavigationMode.typed_health_seen_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:182,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_state_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:183,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_navigation_valid_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:184,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_covariance_valid_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:185,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_observability_valid_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:186,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_correction_fresh_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:187,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_propagation_valid_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:188,Cluster is not a field disposition or D_f proof
NavigationMode.lio_localization_epoch_,LocalizationEpoch,LEXICAL_TENTATIVE,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:189,Cluster is not a field disposition or D_f proof
NavigationMode.last_propagated_state_stamp_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:190,Cluster is not a field disposition or D_f proof
NavigationMode.last_propagated_state_sequence_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:191,Cluster is not a field disposition or D_f proof
NavigationMode.last_lio_diagnostics_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:192,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_source_stamp_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:193,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_correction_stamp_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:194,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_propagated_stamp_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:195,Cluster is not a field disposition or D_f proof
NavigationMode.last_health_receive_steady_ns_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:196,Cluster is not a field disposition or D_f proof
NavigationMode.mission_,DesiredMissionIntent,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:197,Cluster is not a field disposition or D_f proof
NavigationMode.mission_controller_,DesiredMissionIntent,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:198,Cluster is not a field disposition or D_f proof
NavigationMode.failure_reported_,PX4BoundaryLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:200,Cluster is not a field disposition or D_f proof
NavigationMode.mode_active_,PX4BoundaryLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:201,Cluster is not a field disposition or D_f proof
NavigationMode.mission_terminal_,AcceptedMissionProgress,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:202,Cluster is not a field disposition or D_f proof
NavigationMode.handover_requested_,PX4BoundaryLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:203,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_pending_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:204,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_deadline_ns_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:205,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_mission_id_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:206,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_waypoint_index_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:207,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_request_id_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:208,Cluster is not a field disposition or D_f proof
NavigationMode.planner_recovery_bundle_generation_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:209,Cluster is not a field disposition or D_f proof
NavigationMode.safety_suffix_handoff_pending_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:214,Cluster is not a field disposition or D_f proof
NavigationMode.safety_suffix_waypoint_index_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:215,Cluster is not a field disposition or D_f proof
NavigationMode.safety_suffix_request_id_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:216,Cluster is not a field disposition or D_f proof
NavigationMode.last_completed_waypoint_index_,AcceptedMissionProgress,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:217,Cluster is not a field disposition or D_f proof
NavigationMode.last_completed_request_id_,AcceptedMissionProgress,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:218,Cluster is not a field disposition or D_f proof
NavigationMode.completion_position_,AcceptedMissionProgress,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:219,Cluster is not a field disposition or D_f proof
NavigationMode.safety_hold_position_,ExecutionSafetyDisposition,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:220,Cluster is not a field disposition or D_f proof
NavigationMode.mission_complete_published_,AcceptedMissionProgress,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:221,Cluster is not a field disposition or D_f proof
NavigationMode.last_status_state_,PX4BoundaryLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:222,Cluster is not a field disposition or D_f proof
NavigationMode.last_odometry_receive_ns_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:230,Cluster is not a field disposition or D_f proof
NavigationMode.last_odometry_receive_steady_ns_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:231,Cluster is not a field disposition or D_f proof
NavigationMode.last_goal_publish_ns_,MissionLifecycle,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:233,Cluster is not a field disposition or D_f proof
NavigationMode.last_command_receive_ns_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:234,Cluster is not a field disposition or D_f proof
NavigationMode.last_setpoint_update_ns_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:236,Cluster is not a field disposition or D_f proof
NavigationMode.last_state_age_s_,LocalizationHealth,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:240,Cluster is not a field disposition or D_f proof
NavigationMode.last_velocity_command_enu_,CommandLease,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:241,Cluster is not a field disposition or D_f proof
NavigationMode.alignment_latch_generation_,LocalizationEpoch,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:256,Cluster is not a field disposition or D_f proof
NavigationMode.velocity_only_previous_,PX4BoundaryBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:257,Cluster is not a field disposition or D_f proof
NavigationModeExecutor.px4_hold_confirmed_,PX4VehicleStatus,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:285,Cluster is not a field disposition or D_f proof
NavigationModeExecutor.hold_handover_pending_,PX4ModeRequest,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:286,Cluster is not a field disposition or D_f proof
NavigationModeExecutor.hold_handover_in_flight_,PX4ModeRequest,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:287,Cluster is not a field disposition or D_f proof
NavigationModeExecutor.hold_handover_complete_navigation_failure_,PX4TransferContext,SOURCE_REVIEWED,UNRESOLVED,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:288,Cluster is not a field disposition or D_f proof
NavigationModeExecutor.hold_handover_next_retry_steady_ns_,PX4RetryDeadline,SOURCE_REVIEWED,KEEP,src/px4/px4_navigation_external_mode/include/px4_navigation_external_mode/navigation_mode.hpp:290,Cluster is not a field disposition or D_f proof
PlanningWorker.pending_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:342,Cluster is not a field disposition or D_f proof
PlanningWorker.active_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:343,Cluster is not a field disposition or D_f proof
PlanningWorker.snapshot_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:344,Cluster is not a field disposition or D_f proof
PlanningWorker.accepting_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:345,Cluster is not a field disposition or D_f proof
PlanningWorker.started_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:346,Cluster is not a field disposition or D_f proof
PlanningWorker.fatal_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:347,Cluster is not a field disposition or D_f proof
PlanningWorker.shutdown_started_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:348,Cluster is not a field disposition or D_f proof
PlanningWorker.joined_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:349,Cluster is not a field disposition or D_f proof
PlanningWorker.failure_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/planning_worker.hpp:350,Cluster is not a field disposition or D_f proof
PendingGoalHandoffOwner.pending_goal_,DesiredMissionIntent,LEXICAL_TENTATIVE,MOVE,src/runtime/navigation_runtime/include/navigation_runtime/planner_fsm.hpp:90,Cluster is not a field disposition or D_f proof
WorldSnapshotStore.latest_,LatestWorld,LEXICAL_TENTATIVE,KEEP,src/mapping/navigation_mapping/include/navigation_mapping/world_snapshot_store.hpp:177,Cluster is not a field disposition or D_f proof
RouteProgress.waypoints_,RouteGeometry,SOURCE_REVIEWED,UNRESOLVED,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:150,Cluster is not a field disposition or D_f proof
RouteProgress.segments_,RouteGeometry,SOURCE_REVIEWED,UNRESOLVED,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:151,Cluster is not a field disposition or D_f proof
RouteProgress.waypoint_arc_lengths_,RouteGeometry,SOURCE_REVIEWED,UNRESOLVED,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:152,Cluster is not a field disposition or D_f proof
RouteProgress.config_,RouteGeometry,SOURCE_REVIEWED,UNRESOLVED,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:153,Cluster is not a field disposition or D_f proof
RouteProgress.state_,MeasuredRouteHistory,SOURCE_REVIEWED,KEEP,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:154,Cluster is not a field disposition or D_f proof
RouteProgress.total_length_m_,RouteGeometry,SOURCE_REVIEWED,UNRESOLVED,src/contracts/navigation_mission/include/navigation_mission/route_progress.hpp:155,Cluster is not a field disposition or D_f proof
ExecutionStateStore.active_epoch_,MeasuredStateHistory,LEXICAL_TENTATIVE,KEEP,src/execution/navigation_execution/include/navigation_execution/execution_state_store.hpp:45,Cluster is not a field disposition or D_f proof
ExecutionStateStore.next_ingress_sequence_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/execution/navigation_execution/include/navigation_execution/execution_state_store.hpp:46,Cluster is not a field disposition or D_f proof
ExecutionStateStore.state_,MeasuredStateHistory,LEXICAL_TENTATIVE,KEEP,src/execution/navigation_execution/include/navigation_execution/execution_state_store.hpp:47,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.have_velocity_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:86,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.have_acceleration_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:87,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.previous_stamp_ns_,MeasuredStateHistory,LEXICAL_TENTATIVE,KEEP,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:88,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.previous_epoch_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:89,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.previous_velocity_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:90,Cluster is not a field disposition or D_f proof
KinematicDerivativeEstimator.previous_acceleration_,MeasuredStateHistory,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/kinematic_derivative_estimator.hpp:91,Cluster is not a field disposition or D_f proof
HeadingRebindWorker.pending_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/heading_rebind_worker.hpp:116,Cluster is not a field disposition or D_f proof
HeadingRebindWorker.snapshot_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/heading_rebind_worker.hpp:117,Cluster is not a field disposition or D_f proof
HeadingRebindWorker.started_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/heading_rebind_worker.hpp:118,Cluster is not a field disposition or D_f proof
HeadingRebindWorker.stopping_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/heading_rebind_worker.hpp:119,Cluster is not a field disposition or D_f proof
HeadingRebindWorker.joined_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/heading_rebind_worker.hpp:120,Cluster is not a field disposition or D_f proof
BaselineRefinementOpportunity.owner_,QualityReceipt,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/baseline_refinement.hpp:101,Cluster is not a field disposition or D_f proof
BaselineRefinementOpportunity.generation_,QualityReceipt,LEXICAL_TENTATIVE,UNRESOLVED,src/runtime/navigation_runtime/include/navigation_runtime/baseline_refinement.hpp:102,Cluster is not a field disposition or D_f proof
MappingWorker.ready_,WorkerBookkeeping,LEXICAL_TENTATIVE,KEEP,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:283,Cluster is not a field disposition or D_f proof
MappingWorker.accepting_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:284,Cluster is not a field disposition or D_f proof
MappingWorker.started_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:285,Cluster is not a field disposition or D_f proof
MappingWorker.fatal_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:286,Cluster is not a field disposition or D_f proof
MappingWorker.shutdown_started_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:287,Cluster is not a field disposition or D_f proof
MappingWorker.joined_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:288,Cluster is not a field disposition or D_f proof
MappingWorker.resetting_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:289,Cluster is not a field disposition or D_f proof
MappingWorker.in_flight_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:290,Cluster is not a field disposition or D_f proof
MappingWorker.failure_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:291,Cluster is not a field disposition or D_f proof
MappingWorker.highest_admitted_key_,WorkerBookkeeping,LEXICAL_TENTATIVE,UNRESOLVED,src/mapping/navigation_mapping/include/navigation_mapping/mapping_worker.hpp:292,Cluster is not a field disposition or D_f proof
